"age","m_f","ritmo_promedio_30k","official_time_min"
22,"F",3.90444444444444,167.283333333333
21,"M",3.85777777777778,167.3
42,"M",3.86444444444444,167.316666666667
29,"M",3.97333333333333,167.35
36,"M",3.98388888888889,167.35
33,"M",3.66,167.383333333333
30,"M",3.90777777777778,167.383333333333
31,"M",3.91944444444444,167.416666666667
23,"M",3.98555555555556,167.416666666667
30,"M",3.96,167.433333333333
29,"M",3.98055555555556,167.433333333333
35,"M",3.89388888888889,167.45
22,"M",3.91,167.45
29,"M",3.82166666666667,167.466666666667
28,"M",3.975,167.483333333333
30,"M",3.79166666666667,167.483333333333
28,"M",3.94277777777778,167.483333333333
32,"M",3.945,167.533333333333
36,"M",3.96111111111111,167.533333333333
31,"M",3.82277777777778,167.533333333333
53,"M",3.88444444444444,167.55
32,"M",3.90333333333333,167.55
20,"M",3.90555555555556,167.566666666667
47,"M",3.88777777777778,167.566666666667
37,"M",3.83277777777778,167.566666666667
33,"M",3.97722222222222,167.583333333333
40,"M",3.82833333333333,167.6
54,"M",3.86333333333333,167.616666666667
31,"M",3.975,167.633333333333
36,"M",3.95722222222222,167.633333333333
38,"M",3.94333333333333,167.633333333333
33,"M",3.95944444444444,167.633333333333
24,"M",3.96,167.666666666667
45,"M",3.89222222222222,167.666666666667
29,"M",3.93444444444444,167.683333333333
50,"M",3.89555555555556,167.766666666667
34,"M",3.95055555555556,167.766666666667
33,"M",4.00777777777778,167.766666666667
45,"M",3.91111111111111,167.766666666667
27,"M",3.93611111111111,167.783333333333
28,"M",3.87333333333333,167.783333333333
28,"M",3.93666666666667,167.783333333333
31,"M",3.86833333333333,167.8
26,"M",3.9,167.8
45,"M",3.96888888888889,167.816666666667
32,"M",3.995,167.816666666667
37,"M",3.915,167.816666666667
38,"M",3.93166666666667,167.866666666667
36,"M",3.92166666666667,167.866666666667
27,"M",3.92,167.883333333333
29,"M",3.94111111111111,167.9
27,"M",3.95888888888889,167.916666666667
28,"M",3.635,167.95
39,"M",3.88944444444444,167.966666666667
32,"M",3.965,167.966666666667
31,"M",3.94111111111111,167.966666666667
29,"M",3.92444444444444,167.966666666667
37,"M",3.98111111111111,167.966666666667
38,"M",3.98277777777778,168
24,"M",3.95055555555556,168
24,"M",3.97166666666667,168
43,"M",3.97722222222222,168.016666666667
31,"M",4.02333333333333,168.016666666667
29,"M",3.90944444444444,168.05
38,"M",3.95388888888889,168.05
31,"M",3.90666666666667,168.066666666667
33,"M",3.95666666666667,168.083333333333
45,"M",3.93722222222222,168.083333333333
33,"M",4.01444444444444,168.1
24,"M",3.92777777777778,168.1
33,"F",3.92611111111111,168.116666666667
34,"F",3.90944444444444,168.116666666667
48,"M",3.83555555555556,168.133333333333
37,"M",3.97388888888889,168.166666666667
35,"M",3.96833333333333,168.166666666667
24,"F",3.96722222222222,168.166666666667
34,"M",3.95944444444444,168.183333333333
41,"M",3.9,168.183333333333
33,"M",3.93666666666667,168.2
33,"M",3.90944444444444,168.216666666667
23,"M",3.79222222222222,168.216666666667
